InorganicFormula分子式,InorganicFormula组分1,InorganicFormula组分2,InorganicFormula组分3
Na3YCl6,NaCl,YCl3,0
Na2ZrCl6,NaCl,ZrCl4,0
NaNbCl6,NaCl,NbCl5,0
Na0.75La1.75Cl6,NaCl,LaCl3,0
NaTaCl6,NaCl,TaCl5,0
Na0.75Sm1.75Cl6,NaCl,SmCl3,0
Na2HfCl6,NaCl,HfCl4,0
Na2ZrCl6,NaCl,ZrCl4,0
Na2ZrCl6,NaCl,ZrCl4,0
NaTaCl6,NaCl,TaCl4,0
Na3YbCl6,NaCl,YbCl3,0
Na2ZrCl6,NaCl,ZrCl4,0
NaLaCl4,NaCl,LaCl3,0
Na2ZrCl6,NaCl,ZrCl4,0
Na3CrCl6,NaCl,CrCl3,0
Na2ZrCl6,NaCl,ZrCl4,0
Na3ErCl6,NaCl,ErCl3,0
NaAlCl4,NaCl,AlCl3,0
NaTaCl6,NaCl,TaCl5,0
NaTaCl6,NaCl,TaCl5,0
NaTaCl6,NaCl,TaCl5,0
NaTaCl6,NaCl,TaCl5,0
NaTaCl6,NaCl,TaCl5,0
NaTaCl6,NaCl,TaCl5,0
NaTaCl6,NaCl,TaCl5,0
NaTaCl6,NaCl,TaCl5,0
NaTaCl6,NaCl,TaCl5,0
